ID,Text
16-9,住址：希望之峰职工宿舍3区14栋1502
16-10,简历
16-11,1996年，作为超高校级的厨师入学希望之峰64期
16-12,1999年，从希望之峰毕业，并加入日下部财团作为其首席顾问
16-13,2008年，在塔和开设Ibiza餐厅，后因发生大规模食物中毒事件导致餐厅停运。
16-14,2009年，负责运营日下部财团投资的A2餐厅，并兼任主厨。
P1-1,询问者：请说出您的姓名，年龄和职业
P1-2,姬子：佐川姬子，40岁，现任希望之峰生物学部教授。
P1-3,询问者：您的家庭状况？
P1-4,姬子：丈夫去世了。还有一个女儿，佐川理绘，现在在希望之峰预备学科上学。
P2-1,询问者：1日的晚餐时段，您前往A2食堂有什么特别的理由吗？
P2-2,姬子：没有。晚上有空的时候就会去那里吃饭。
P2-3,询问者：是A2食堂的常客吗？
P2-4,姬子：是，因为这里离生物学部楼最近，而且口味相对而言比较和我胃口。
P2-5,询问者：这么说，生物学部的教师和学生都很喜欢来这里吗？
P2-6,姬子：据我所知，是的。
P3-1,询问者：请回忆一下排队时的状况。
P3-2,姬子：我当时在队伍的前段，由于来得早，前面没几个人。
P3-3,询问者：队伍前面有熟人吗？
P3-4,姬子：有。在我前面的是日下部龙之介，那个来希望之峰采访的财团董事。
P3-5,询问者：没有其他认识的人了吗？
P3-6,姬子：没有。
P3-7,询问者：你确定？你所在队伍的第一名是谁你记得吗？
P3-8,姬子：……不记得。
P3-9,询问者：那么队伍后面呢？
P3-10,姬子：我后面是个不认识的男人，看起来很年轻，应该是学生吧；他后面的那个人应该是我们学部的讲师今井加奈，再后面的我就没注意过了。
P3-11,询问者：您大概是几点开始排的队呢？
P3-12,姬子：大约是晚上6:50左右？
P4-1,询问者：用餐时有什么奇怪的事情发生吗？
P4-2,姬子：没什么。跟往常一样。
P4-3,询问者：但是有目击者称你喝汤的时候一不小心把勺子弄掉了？
P4-4,姬子：…你难道没弄掉过勺子吗？
P4-5,询问者：啊，当然不是这个意思。只是据目击者的描述，你似乎是被什么东西吓了一跳，但是周围却没有什么异常情况，所以才想问那个时候发生了什么。
P4-6,姬子：确实当时手背突然一阵刺痛，现在想想，应该是这个定时注射贴的问题吧。
P4-7,询问者：定时注射贴？
P4-8,姬子：嗯。这几天因为工作比较忙所以会有点过度疲劳，一直在给自己注射营养剂来维持状态。
P4-9,询问者：那这么说案发当天的注射贴出了什么问题吗？
P4-10,姬子：一般不应该那个时候注射的。但是昨天的那贴是我女儿给我贴上的，可能是她把时间设错了吧。
P4-11,询问者：这个注射贴能交给我们吗？
P4-12,姬子：当然可以。在那个垃圾桶里。
P5-1,询问者：听说你跟今井加奈的关系很差？
P5-2,姬子：关系是一个双向的概念。是她单方面对我抱有敌意，至于我，我对她并不抱持特别的态度。
P5-3,询问者：有传言称今井加奈一直试图把你从教授的位置上拉下来取而代之？
P5-4,姬子：嗯，她也从没掩饰过这点。
P5-5,询问者：你觉得无所谓吗？
P5-6,姬子：她如果确实能力比我强，把我取而代之不是很正常的事情吗？希望之峰归根结底还是个靠实力的地方。我并不会因此对她抱有什么特别的情感。
P5-7,询问者：但她似乎并不打算靠实力取胜。
P5-8,姬子：（冷笑）恕我直言，这里是希望之峰，不是什么充满了人情味和无聊的勾心斗角的野鸡高校。
P6-1,询问者：你跟女儿的关系似乎很紧张？
P6-2,姬子：我认为这跟本案无关。
P6-3,询问者：这件事是否与本案有关是由我们决定的，佐川小姐，请回答问题。
P6-4,姬子：（叹气）毕竟我欠那孩子的。如果她父亲还在的话…也许不会走到这个地步吧。
P6-5,询问者：不过据你们的邻居称，你们关系恶化是从去年开始的？这似乎不能单纯用丧父来解释了吧。
P6-6,姬子：请你适可而止，我拒绝回答这个问题。
P7-1,询问者：好吧，我们换个话题。你觉得谁可能有谋杀你的动机？
P7-2,姬子：据我所知，唯一恨到想杀我的人尸体现在应该已经凉了。而且我也不觉得有谁会用这种华丽的方式来谋杀我一个人。
P8-1,询问者：据尸检报告显示，你身后的那两位和队伍前面的死者都摄入了大剂量的毒剂，你却能够生还，这是不是运气太好了点？
P8-2,姬子：TETS是微溶物，放在那种汤品里根本不可能融化，所以中毒剂量极端随机化是很正常的事情。也许就像是你说的一样，我运气比较好而已。而且我前面的那个男人听说不是也活过来了吗？
P8-3,询问者：我可没说过…
P8-4,姬子：别忘了我可是生物学教授，TETS的中毒症状我也不是第一次见了。而且如果你还怀疑可能是我干的，我可以告诉你，如果是我打算搞一个反社会事件，我绝对不会给自己和别人挑一个这么痛苦的死法。
P9-1,询问者：生物学部的药品储藏室出现药品失窃的事情你知道了吗？
P9-2,姬子：嗯。这不是找到了吗，刚刚还在我们胃里兴风作浪呢。
P9-3,询问者：之前没有发现失窃的迹象吗？
P9-4,姬子：这周一的时候我和宫原科长亲自检查过药剂储藏室的药品状态，仔细检查过后确认没问题之后才关门的，这一周按理来讲都应该没有人去动那些东西。
P9-5,询问者：当时的检查彻底吗？
P9-6,姬子：是，我给每瓶药做了一次化验。
P9-7,询问者：那是怎样的一瓶药剂？
P9-8,姬子：用的是希望之峰的制式药剂瓶，因为是手工配制暂时存放的东西，所以只是贴了个手写的标签。
P9-9,询问者：希望之峰内部还有其他的这种毒药吗？
P9-10,姬子：有制备能力的只有我们学部和化学学部，当然据我所知他们既没有制备的理由也没有传出过制备这种药品的消息。
P9-11,询问者：瓶子本身能从校外买到吗？
P9-12,姬子：希望之峰的药剂瓶都是统一配发的定制型号，在外面一般情况下是不可能买到的。不过希望之峰毕竟寄托着太多蠢货的憧憬，即使进不来也想要个药剂瓶留作纪念——所以硬要说的话，可以。但是就在这种安检条件下，那种东西就算真的存在也带不进来吧。
P9-13,询问者：那这么说，有没有可能是有学生在宿舍里…
P9-14,姬子：啊，确实不能排除这种可能，毕竟都是超高校级的天才…要是他能把一台标记同位素的机器也搬进宿舍里还不被发现，那我确实要大加赞赏一番——别想了，不可能的。
P10-1,询问者：请说出您的姓名，年龄和职业。
P10-2,日下部：日下部龙之介，44岁，日下部财团董事
P11-1,询问者：1日的晚餐时段，您前往A2食堂有什么特别的理由吗？
P11-2,日下部：嗯。因为今天是来希望之峰参观的最后一天，所以想看看我们投资的餐馆经营状况如何，没想到却发生了这种事情…
P11-3,询问者：也就是说来这里餐馆是在日程表上定好的行动？
P11-4,日下部：是这样没错。
P12-1,询问者：听说您是来希望之峰参观的？
P12-2,日下部：是。因为我们财团也算是希望之峰的一大投资人，总要没事来看看自己的钱都流到哪里去了吧？（笑）
P12-3,询问者：您来希望之峰参观的日程表信息都有谁知道呢？
P12-4,日下部：嗯…我这次是一个人来的，所以日程安排和调整都是由希望之峰这边的接待人雪染小姐负责的，我会把意愿告诉她，然后拜托她来安排具体的日程。
P12-5,询问者：这位接待人的全名是雪染千纱吗？
P12-6,日下部：是。不愧是世界顶尖的人才啊，我曾经提过想聘请她来我们财团工作的事情，可惜她并不想离开这里。
P12-7,询问者：雪染小姐提到参观A2食堂原本是周三的事情，但是因为您身体不适改到周五了？
P12-8,日下部：啊，是的。本来周三的原定计划是白天去参加跟希望之峰理事会的会议，但是似乎是水土不服的原因，周三到周四我一直都在腹泻，所以不得已把日程推到了周五。
P13-1,询问者：你还记得排队时自己的位置吗？
P13-2,日下部：记得。我当时排在队伍里第三的位置。
P13-3,询问者：你的前后有什么认识的人吗？
P13-4,日下部：当然，我前面的那个是很有名的说唱歌手，是叫藤…藤野…
P13-5,询问者：藤间悠斗。
P13-6,日下部：啊对对对，藤间悠斗。我女儿很喜欢他，所以我就记住了。
P13-7,询问者：除了他呢？
P13-8,日下部：嗯…似乎还有个熟面孔来着。在我后面很远的地方似乎有个经常登上杂志封面的人？不过毕竟希望之峰人才济济，有个把这样的人并不奇怪吧。
P13-9,询问者：你说的是这位吗？（拿出江之岛盾子的杂志封面图）
P13-10,日下部：嗯！对，就是她。我想起来了，江之岛盾子，2008年的时候我们曾经邀请她去做过产品代言。
P14-1,询问者：你认为谁比较有可能来谋杀你？
P14-2,日下部：谋杀？这是一起针对我的谋杀案？
P14-3,询问者：不，但我也不排除这种可能。
P14-4,日下部：我不认为希望之峰内部会有什么我的仇人，至于餐厅的工作人员都是我们的雇员，基本也不可能会有心怀歹意的人吧。在戒备森严的希望之峰出这种事，本身就是一件意料之外的事情，很抱歉，我没有什么特别的线索可以给出。
P15-1,询问者：据雪染小姐称，你在周二下午的时候尤其详细的参观了生物学部楼，能介绍一下原因吗？
P15-2,日下部：别看我现在是个管理人员，我曾经也是个生物学研究者，当时也曾经梦想能入选希望之峰，实在是研究能力不足才去继承家业的。即使如此，我对新兴生物技术对未来的统治地位也不抱任何怀疑，所以这次来希望之峰希望能够了解到生物学最前沿的一些资讯，所以在生物学部楼花了很长时间。
P15-3,询问者：但是也不至于连药品和样本储藏室都要参观吧。
P15-4,日下部：好不容易来了全世界最先进的生物学研究所，肯定要看个过瘾吧。不过真是辛苦雪染小姐了，跟那个不懂变通的科长交涉了好久才放行。
P16-1,询问者：请说出你的姓名，年龄和职业。
P16-2,雪染：雪染千纱，20岁，希望之峰本科2-B班班主任。
P17-1,询问者：1日的晚餐时段，您前往A2食堂有什么特别的理由吗？
P17-2,雪染：有。我当天是作为日下部董事在希望之峰参观的随行接待人员跟他一起来到A2食堂的。
